Title,Number of Reviews,Rating,Bought Last Month,Price After Discount,MRP,Image URL,Product ID,5 Star Percentage,4 Star Percentage,3 Star Percentage,2 Star Percentage,1 Star Percentage,Bought Last Month (Numeric)
"EvoFox One S Universal 3-Mode Wireless Gaming Controller – HallSense™ Precision Joysticks, Bluetooth 5.0, 2.4GHz & Wired Connectivity, Macro & Precision Buttons, Fast Type-C Charging & Dual Vibration, for PC, Mobile, Android TV, PS4 & Console Gaming.",1075,4.1,400+ bought in past month,1599.0,2299.0,https://m.media-amazon.com/images/I/61ZMQy4ln1L._AC_UY218_.jpg,1,61%,18%,6%,4%,11%,400
"EvoFox Elite X Wired Gaming Controller for PC with 2 Programmable Macro Back Buttons, Adjustable Dual Vibration Motors,Turbo Mode,Analog Triggers, High Precision joysticks,Low Latency Plug and Play,Translucent Shell Controller for pc",2607,4.0,1K+ bought in past month,1099.0,1899.0,https://m.media-amazon.com/images/I/61SLwruzA-L._AC_UY218_.jpg,2,56%,20%,8%,4%,12%,1000
"Cosmic Byte ARES Wired Controller for PC, Magnetic Triggers, Accurate Joysticks, Dual Vibration, Backit LED Buttons (Black)",1570,4.3,1K+ bought in past month,1099.0,2499.0,https://m.media-amazon.com/images/I/518T5womMxL._AC_UY218_.jpg,3,63%,23%,6%,2%,6%,1000
"Cosmic Byte ARES Wireless Controller for PC, Magnetic Triggers, Accurate Joysticks, Dual Vibration, Backit LED Buttons, USB Extension Cable (Black)",3165,4.2,500+ bought in past month,1499.0,2199.0,https://m.media-amazon.com/images/I/61xf2zTjBeL._AC_UY218_.jpg,4,61%,21%,6%,2%,10%,500
"Cosmic Byte ARES Wireless Controller for PC, Magnetic Triggers, Accurate Joysticks, Dual Vibration, Backit LED Buttons, USB Extension Cable (White)",1570,4.3,500+ bought in past month,1549.0,3299.0,https://m.media-amazon.com/images/I/51vJ+lDkcKL._AC_UY218_.jpg,5,63%,23%,6%,2%,6%,500
"EvoFox One S Universal 3-Mode Wireless Gaming Controller – HallSense™ Precision Joysticks, Bluetooth 5.0, 2.4GHz & Wired Connectivity, Macro & Precision Buttons, Fast Type-C Charging & Dual Vibration, for PC, Mobile, Android TV, PS4 & Console Gaming.",1075,4.1,400+ bought in past month,1599.0,2299.0,,6,null,null,null,null,null,400
"EvoFox Elite X Wired Gaming Controller for PC with 2 Programmable Macro Back Buttons, Adjustable Dual Vibration Motors,Turbo Mode,Analog Triggers, High Precision joysticks,Low Latency Plug and Play,Translucent Shell Controller for pc",2607,4.0,1K+ bought in past month,1099.0,1899.0,,7,56%,20%,8%,4%,12%,1000
"EvoFox Elite Ops Wired Gaming Controller for PC, Android TV and PS3 with 2.4m Long Cable | Dual Vibration Rumble Motors | Zero Lag Connectivity with Plug and Play functionality |2.4m Long Cable, X-Input & D-Input | Black",99,4.0,200+ bought in past month,929.0,1499.0,,8,null,null,null,null,null,200
,0,4.0,,,,,9,null,null,null,null,null,0
,0,4.1,,,,,10,null,null,null,null,null,0
