Title,Number_of_Reviews,Rating,Bought_Last_Month,Price_After_Discount,MRP,Image_URL,Product_ID,Star_Rating_Percentage
"EvoFox One S Universal 3-Mode Wireless Gaming Controller – HallSense™ Precision Joysticks, Bluetooth 5.0, 2.4GHz & Wired Connectivity, Macro & Precision Buttons, Fast Type-C Charging & Dual Vibration, for PC, Mobile, Android TV, PS4 & Console Gaming.","1,075","4.1 out of 5 stars, rating details",400+ bought in past month,"1,599","₹2,299",https://m.media-amazon.com/images/I/61ZMQy4ln1L._AC_UY218_.jpg,1,"{5: '61%', 4: '18%', 3: '6%', 2: '4%', 1: '11%'}"
"EvoFox Elite X Wired Gaming Controller for PC with 2 Programmable Macro Back Buttons, Adjustable Dual Vibration Motors,Turbo Mode,Analog Triggers, High Precision joysticks,Low Latency Plug and Play,Translucent Shell Controller for pc","2,607","4.0 out of 5 stars, rating details",1K+ bought in past month,"1,099","₹1,899",https://m.media-amazon.com/images/I/61SLwruzA-L._AC_UY218_.jpg,2,"{5: '56%', 4: '20%', 3: '8%', 2: '4%', 1: '12%'}"
"Cosmic Byte ARES Wired Controller for PC, Magnetic Triggers, Accurate Joysticks, Dual Vibration, Backit LED Buttons (Black)","1,570","4.3 out of 5 stars, rating details",1K+ bought in past month,"1,099","₹2,499",https://m.media-amazon.com/images/I/518T5womMxL._AC_UY218_.jpg,3,"{5: '63%', 4: '23%', 3: '6%', 2: '2%', 1: '6%'}"
"Cosmic Byte ARES Wireless Controller for PC, Magnetic Triggers, Accurate Joysticks, Dual Vibration, Backit LED Buttons, USB Extension Cable (Black)","3,165","4.2 out of 5 stars, rating details",500+ bought in past month,"1,499","₹2,199",https://m.media-amazon.com/images/I/61xf2zTjBeL._AC_UY218_.jpg,4,"{5: '61%', 4: '21%', 3: '6%', 2: '2%', 1: '10%'}"
"Cosmic Byte ARES Wireless Controller for PC, Magnetic Triggers, Accurate Joysticks, Dual Vibration, Backit LED Buttons, USB Extension Cable (White)","1,570","4.3 out of 5 stars, rating details",500+ bought in past month,"1,549","₹3,299",https://m.media-amazon.com/images/I/51vJ+lDkcKL._AC_UY218_.jpg,5,"{5: '63%', 4: '23%', 3: '6%', 2: '2%', 1: '6%'}"
"EvoFox One S Universal 3-Mode Wireless Gaming Controller – HallSense™ Precision Joysticks, Bluetooth 5.0, 2.4GHz & Wired Connectivity, Macro & Precision Buttons, Fast Type-C Charging & Dual Vibration, for PC, Mobile, Android TV, PS4 & Console Gaming.","1,075","4.1 out of 5 stars, rating details",400+ bought in past month,"1,599","₹2,299",null,6,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"EvoFox Elite X Wired Gaming Controller for PC with 2 Programmable Macro Back Buttons, Adjustable Dual Vibration Motors,Turbo Mode,Analog Triggers, High Precision joysticks,Low Latency Plug and Play,Translucent Shell Controller for pc","2,607","4.0 out of 5 stars, rating details",1K+ bought in past month,"1,099","₹1,899",null,7,"{5: '56%', 4: '20%', 3: '8%', 2: '4%', 1: '12%'}"
"EvoFox Elite Ops Wired Gaming Controller for PC, Android TV and PS3 with 2.4m Long Cable | Dual Vibration Rumble Motors | Zero Lag Connectivity with Plug and Play functionality |2.4m Long Cable, X-Input & D-Input | Black",99,"4.0 out of 5 stars, rating details",200+ bought in past month,929,"₹1,499",null,8,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
,,"4.0 out of 5 stars, rating details",null,,,null,9,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
,,"4.1 out of 5 stars, rating details",null,,,null,10,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"Cosmic Byte Stellaris Controller, 3 Modes Wifi + Bluetooth + Wired for PC, iOS, Android, Hall Effect Magnetic Trigger and Joystick, Macros, 1000mAh Battery, RGB LED (Black)",409,"4.2 out of 5 stars, rating details",400+ bought in past month,"2,999","₹5,499",https://m.media-amazon.com/images/I/51Oov2q3V9L._AC_UY218_.jpg,11,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
Sony DualSense Wireless Controller White (PlayStation 5),"2,484","4.3 out of 5 stars, rating details",null,"6,190","₹6,390",https://m.media-amazon.com/images/I/61Q1Pa4X4-L._AC_UY218_.jpg,12,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"Zebronics MAX FURY Transparent RGB LED Illuminated Wired Gamepad for Windows PC, Android, with Dual analog sticks, Quad front triggers, Dual motors force, Haptic Feedback, Supports X-Input & D-Input.","1,198","4.1 out of 5 stars, rating details",500+ bought in past month,"1,199","₹1,999",https://m.media-amazon.com/images/I/715vosKfRkL._AC_UY218_.jpg,13,"{5: '59%', 4: '20%', 3: '5%', 2: '3%', 1: '13%'}"
