Title,Number_of_Reviews,Rating,Bought_Last_Month,Price_After_Discount,MRP,Image_URL,Product_ID,Star_Rating_Percentage
"boAt Rockerz 480 W/RGB LEDs, 6 Light Modes, 40Mm Drivers, Beast Mode, 60Hrs Playback, Enx Tech, BT V5.3, Adaptive Fit & Easy Access Controls, Bluetooth Over Ear Headphones(Black Sabre)","1,509","4.1 out of 5 stars, rating details",5K+ bought in past month,"1,499","₹3,790",https://m.media-amazon.com/images/I/711l4y8aNlL._AC_UY218_.jpg,1,"{5: '63%', 4: '16%', 3: '6%', 2: '2%', 1: '13%'}"
"Noise Newly Launched Airwave Max 5 Wireless Over Ear Headphones with Adaptive Hybrid ANC (up to 50dB), HFA Tech, 80H Playtime, Dual Pairing(Calm White)",173,"4.2 out of 5 stars, rating details",50+ bought in past month,"4,499","₹5,999",https://m.media-amazon.com/images/I/51g7PqkNMxL._AC_UY218_.jpg,2,"{5: '62%', 4: '18%', 3: '9%', 2: '1%', 1: '10%'}"
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, On Ear Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)","118,384","4.0 out of 5 stars, rating details",5K+ bought in past month,"1,399","₹3,990",https://m.media-amazon.com/images/I/51FNnHjzhQL._AC_UY218_.jpg,3,"{5: '53%', 4: '23%', 3: '9%', 2: '4%', 1: '11%'}"
"boAt Rockerz 480 W/RGB LEDs, 6 Light Modes, 40Mm Drivers, Beast Mode, 60Hrs Playback, Enx Tech, BT V5.3, Adaptive Fit & Easy Access Controls, Bluetooth Over Ear Headphones(White Sabre)","1,509","4.1 out of 5 stars, rating details",3K+ bought in past month,"1,499","₹3,790",https://m.media-amazon.com/images/I/61cIHzCDl6L._AC_UY218_.jpg,4,"{5: '63%', 4: '16%', 3: '6%', 2: '2%', 1: '13%'}"
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, On Ear Bluetooth Headphones, Wireless Headphone with Mic (Hazel Beige)","118,384","4.0 out of 5 stars, rating details",3K+ bought in past month,"1,399","₹3,990",https://m.media-amazon.com/images/I/51Tf2zsMODL._AC_UY218_.jpg,5,"{5: '53%', 4: '23%', 3: '9%', 2: '4%', 1: '11%'}"
"Boult Newly Launched Flex On Ear Bluetooth Headphones with 80H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, Bluetooth 5.4, AUX Option, 60ms Low Latency, IPX5 (Jet Black)",216,"4.1 out of 5 stars, rating details",500+ bought in past month,"1,499","₹5,499",null,6,"{5: '63%', 4: '15%', 3: '6%', 2: '2%', 1: '14%'}"
Jabra Evolve2 65 UC Wireless Bluetooth On Ear Headphone with Mic (Black),"2,230","4.2 out of 5 stars, rating details",null,"33,050","₹42,892",null,7,"{5: '65%', 4: '15%', 3: '6%', 2: '4%', 1: '10%'}"
"PowerA Wired Gaming Stereo Headset for Nintendo Switch with Detachable Boom Mic, Fortnite Llambro, Officially Licensed (Virtual Bonus Item Included)",185,"4.3 out of 5 stars, rating details",null,"2,589","₹3,999",null,8,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
"Audio-Technica ATH-S220BT Bluetooth Wireless Headphones with Mic | 60H Battery, Over-Ear Headset for Mobile & PC | Fast Charging Bluetooth Earphones with Wired Option",172,"4.0 out of 5 stars, rating details",null,"5,290","₹7,113",null,9,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
Boat BassHeads 100 in-Ear Headphones with Mic (Black),"421,695","4.1 out of 5 stars, rating details",5K+ bought in past month,399,₹999,https://m.media-amazon.com/images/I/513ugd16C6L._AC_UY218_.jpg,10,"{5: 'null', 4: 'null', 3: 'null', 2: 'null', 1: 'null'}"
